Financial Year,Name,Address Line 1,Address Line 2,Suburb,State,Postcode,Lodged on behalf of,Associated Party,Total Receipts,Total Payments,Total Debts,Discretionary Benefits,Capital Contributions
2008-2009,Australian Workers Union - National Office,"L10, 377-383 Sussex Street",,SYDNEY,NSW,2000,,,6065167,5437365,367400,0,0
2008-2009,Australian Workers Union - Whyalla Branch,9 Murn Crescent,,WHYALLA NORRIE,SA,5608,,,0,0,0,0,0
2008-2009,Australian Workers Union SA Branch,GPO Box 2577,,ADELAIDE,SA,5001,,,2222016,2202161,0,0,0
2008-2009,Australian Workers Union WA Branch,PO Box 8122,Perth Business Centre,PERTH,WA,6849,,,2804080,2935454,249993,0,0
2008-2009,Automotive Food Metals Engineering Printing & Kindred Ind. Union,PO Box 160,,GRANVILLE,NSW,2142,,,51787413,47440961,1371808,0,0
2008-2009,AWU - Australian Workers Union (Tasmanian Branch),P O Box 489,,GLENORCHY,TAS,7010,,,1237581,1159339,38937,0,0
2008-2009,AWU Port Kembla Branch,PO Box 1506,,WOLLONGONG,NSW,2500,,,1690059,965584,530585,0,0
2008-2009,Bass 200 Club,PO Box 431,,WONTHAGGI,VIC,3995,,,16608,6946,0,0,0
2008-2009,Bayside Forum,55 Marne Street,,SOUTH YARRA,VIC,3141,,"Liberal Party of Australia, NSW Division",90128,75991,0,0,0
2008-2009,Bendigo 250 Club,PO Box 364,,STRAHDALE,VIC,3550,,Liberal Party of Australia (Victorian Division),8914,13792,0,0,0
2008-2009,Berwick Ranges 500 Club,PO Box 145,,BERWICK,VIC,3806,,Liberal Party of Australia (Victorian Division),40234,8728,0,0,0
2008-2009,Bjelke Petersen Foundation Trust,PO Box 5940,,WEST END,QLD,4101,,,0,0,0,0,0
2008-2009,Blind Workers Union of Victoria,106 Seymour Street,,SOLDIERS HILL,VIC,3350,,,10283,8898,0,0,0
2008-2009,Blue and White Committee,17 Barton Drive,,BARANDUDA,VIC,3691,,,128,3435,0,0,0
2008-2009,Bulleen Supporters Group,PO Box 13,,BULLEEN,VIC,3105,,Liberal Party of Australia (Victorian Division),34362,13823,0,0,0
2008-2009,Bunori Pty Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,"Liberal Party of Australia, NSW Division",1649656,1600244,1943989,0,0
2008-2009,Business First,PO Box 35,,CHELSEA,VIC,3196,,Liberal Party of Australia (Victorian Division),0,0,0,0,0
2008-2009,Canberra Labor Club Limited,PO Box 167,,Belconnen,ACT,2617,,,41374269,42651464,2333346,0,0
2008-2009,Casey Business Briefing Club,133 Dorking Road,,BOX HILL NORTH,VIC,3129,,Liberal Party of Australia (Victorian Division),37197,29129,685,0,0
2008-2009,CEC Australia (Services) Pty Ltd,PO Box 376,,COBURG,VIC,3058,,,1696287,1695187,876962,0,0
2008-2009,CEPU - Electrical Division QLD & NT ,PO Box 3520,,SOUTH BRISBANE,QLD,4101,,,7127610,6896168,53855,0,0
2008-2009,CEPU (T&S) NSW Branch,PO Box A1135,,SYDNEY SOUTH,NSW,2000,,,729259,1064916,144965,0,0
2008-2009,CEPU Communications Division - Tasmania Branch,105 New Town Road,,NEW TOWN,TAS,7008,,,419957,410315,0,0,0
2008-2009,CEPU Communications Division - WA,PO Box 8354,,PERTH BC,WA,6849,,,880783,748751,0,0,0
2008-2009,CEPU Communications Division (CWU QLD Branch),PO Box 3203,,WEST END,QLD,4101,,,89681,24737,0,0,0
2008-2009,CEPU Communications Division SA/NT Branch,312 South Road,,RICHMOND,SA,5033,,,1051390,1068749,249662,0,12777
2008-2009,"CEPU Electrical, Energy & Services Division - SA","Level 1, 87 St Vincent Street",,PORT ADELAIDE,SA,5015,,,1518781,1485573,47141,0,15187
2008-2009,CEPU Engineering & Electrical Division WA Branch,PO Box 689,,BALCATTA,WA,6914,,,0,12601,0,0,0
2008-2009,CEPU P & T Victorian Branch,PO Box 14,,BRUNSWICK WEST,VIC,3055,,,1818724,1944807,112834,0,0
2008-2009,CEPU Plumbing Division Queensland Branch,PO Box 3596,,SOUTH BRISBANE,QLD,4101,,,1276262,1566922,324613,0,0
2008-2009,CEPU Plumbing Division Victoria,52 Victoria Street,,CARLTON SOUTH,VIC,3053,,,4679251,4333499,1747982,0,0
2008-2009,CEPU T & S Victorian Branch,1/139 Queensberry St,,CARLTON SOUTH,VIC,3053,,,1314645,1023410,0,0,0
2008-2009,CFMEU - Construction & General Division (WA Branch),PO Box 8075,,PERTH BC,WA,6849,,,10667144,8914644,0,0,0
2008-2009,CFMEU - Construction and General Division (NT),PO Box Q235,QVB Post Office,SYDNEY,NSW,1230,,,355416,290727,0,0,0
2008-2009,CFMEU - Mining and Energy Division - Tas,PO Box 72,,GEORGE TOWN,TAS,7253,,,156975,149079,0,0,50000
2008-2009,CFMEU - Mining Division (Nth NSW District),PO Box 364,,CESSNOCK,NSW,2325,,,10986977,14988881,788358,0,0
2008-2009,CFMEU C & G Division (TAS),33A New Town Road,,NEW TOWN,TAS,7008,,,355450,258068,5000,0,0
2008-2009,"CFMEU Construction and General Division, New South Wales Divisional Branch",Locked Bag 5015,,ALEXANDRIA,NSW,2015,,,11785232,11600372,0,0,0
2008-2009,CFMEU FFPD Division ,148-152 Miller Street,,WEST MELBOURNE,VIC,3003,,Australian Labor Party (ALP),6755835,6939443,188217,0,0
2008-2009,CFMEU Mining & Energy Division (Qld District Branch),PO Box 508,,SPRING HILL,QLD,4004,,,12859116,11323013,2160996,0,0
2008-2009,"CFMEU Mining & Energy Division, NSW Energy District",PO Box Q1641,QVB Post Office,SYDNEY,NSW,1230,,,791750,735034,22747,0,0
2008-2009,Chinese Liberals Association,PO Box 568,,CARNEGIE,VIC,3163,,Liberal Party of Australia (Victorian Division),14924,27866,0,0,0
2008-2009,Citizens Media Group Pty Ltd,PO Box 376,,COBURG,VIC,3058,,,123681,123657,266576,0,0
2008-2009,CLP Gifts & Legacies Pty Ltd,Post Office Box 48,95 Langton Road,HOWARD SPRINGS,NT,835,,Country Liberals (Northern Territory),97772,31735,13054,0,0
2008-2009,Coal Miners Industrial Union of Workers of WA Collie,75 Throssell Street,,COLLIE,WA,6225,,,403937,394663,14186,0,0
2008-2009,Communications Electrical Plumbing Union NSW P & T Branch,PO Box 250,,PARRAMATTA,NSW,2124,,,3874537,3130299,299530,0,0
2008-2009,Community and Public Sector Union (PSU Group),Level 7 191-199 Thomas Street,,HAYMARKET,NSW,2000,,,24201140,23161056,1193036,0,0
2008-2009,Construction Forestry Maritime Mining & Energy Union The Construction & General Division ACT Divisional Branch,PO Box 498,,DICKSON,ACT,2602,,,3228967,1576166,34293,0,0
2008-2009,Cormack Foundation Pty Ltd,25 St James Park Drive,,BRIGHTON,VIC,3186,,Liberal Party of Australia (Victorian Division),8196234,5514350,30584,0,0
2008-2009,Curlew Nominee Trust,PO Box 441,,KILLARA,NSW,2071,,,1615,2230,47548,0,0
2008-2009,Dame Pattie Menzies Liberal Foundation,Locked Bag 2,,Kings Cross,NSW,1340,,,1582,800,0,0,0
2008-2009,Deakin Executive Forum,PO Box 3279,,The Pines,VIC,3109,,,998,0,0,0,0
2008-2009,Don Chipp Foundation Ltd,4 Marina Palms,Inner Harbour Drive,PATTERSON LAKES,VIC,3197,,,0,0,0,0,0
2008-2009,Dunkley Blue Ribbon Club,PO Box 696,,FRANKSTON,VIC,3199,,,33173,12114,0,0,0
2008-2009,Electrical Trades Union of Australia - Victoria Branch,PO Box 432,,NORTH MELBOURNE,VIC,3051,,,13163716,13650648,6768710,0,0
2008-2009,Electrical Trades Union of Australia NSW Branch,Level 5/370 Pitt Street,,SYDNEY,NSW,2000,,,8701849,7610118,79094,0,0
2008-2009,Electrical Trades Union of Employees Queensland,PO Box 3520,,SOUTH BRISBANE,QLD,4101,,,850827,761277,0,0,0
2008-2009,EMILY's List Australia,"Level 2, Queen Victoria Women's Centre",210 Lonsdale Street,MELBOURNE,VIC,3000,,,232403,266000,38444,0,0
2008-2009,Enterprise Club,PO Box 13,,NUNAWADING,VIC,3131,,,0,0,0,0,0
2008-2009,Fed. Ironworkers Assoc. of Aust (QLD Br) Union of Employees,GPO Box 88,,BRISBANE,QLD,4001,,,180032,88558,0,0,0
2008-2009,Finance Sector Union of Aust - QLD Branch,PO Box 3054,,SOUTH BRISBANE,QLD,4101,,,1588732,1588732,16554,0,0
2008-2009,Finance Sector Union of Aust - SA/NT Branch,Level 1,229 Greenhill Road,DULWICH,SA,5065,,,923261,923261,5289,0,0
2008-2009,Finance Sector Union of Australia - NSW Branch,PO Box A2442,,SYDNEY SOUTH,NSW,1235,,Australian Labor Party (N.S.W. Branch),3615679,3615679,0,0,0
2008-2009,Forward Brisbane Leadership,PO Box 940,,SPRING HILL,QLD,4004,,,268539,285331,58906,0,0
2008-2009,Friends of Indi,33 Benelong Road,,CREMORNE,NSW,2090,,,0,168,0,0,0
2008-2009,Gatenby Investment Fund,GPO Box 469,,HOBART,TAS,7001,,,22657,414,4345,0,21843
2008-2009,Goulburn River & Ranges 200 Club,PO Box 104,,ALEXANDRA,VIC,3714,,Liberal Party of Australia (Victorian Division),1700,942,0,0,0
2008-2009,Greater Eastern Network 200 Club,43 Hunter Road,,WANDIN NORTH,VIC,3139,,,4349,17646,0,0,0
2008-2009,Health & Community Services Union Vic No. 2 HSU,PO Box 206,,CARLTON SOUTH,VIC,3053,,,2777734,2583811,413151,0,0
2008-2009,Health Services Union SA Branch,Suite 46,255 Drummond St,CARLTON,VIC,3053,,,244023,217570,80935,0,0
2008-2009,Health Services Union Victoria No. 3 Branch,PO Box 5272,,SOUTH MELBOURNE,VIC,3205,,Australian Labor Party (Victorian Branch),1989916,1767700,86972,0,1000
2008-2009,Health Services Union Victorian Branch,PO Box 5128,,SOUTH MELBOURNE,VIC,3205,,,5715804,5705239,1300498,0,0
2008-2009,Higgins 200 Club,PO Box 8050,,ARMADALE,VIC,3143,,Liberal Party of Australia (Victorian Division),134329,203256,0,0,0
2008-2009,Higgins Foundation Ltd,5 Turnbull Ave,,TOORAK,VIC,3142,,Liberal Party of Australia (Victorian Division),39208,18695,0,0,0
2008-2009,HSU East,Locked Bag 3,,AUSTRALIA SQUARE,NSW,1215,,,29232923,31143933,20028163,0,0
2008-2009,HSUA NSW Branch,Level 2,109 Pitt Street,SYDNEY,NSW,2000,,,1084470,1100010,21062,0,0
2008-2009,Indi Foundation Inc,2 Pick and Shovel Rise,,HARRIETVILLE,VIC,3741,,,100,40,0,0,0
2008-2009,Industrial Staff Union,160 Clarence Street,,SYDNEY,NSW,2000,,,18390,14620,0,0,0
2008-2009,JJ & JV Robertson,3 Elcama Street,,DUBBO,NSW,2830,,,2263314,1719215,315566,0,0
2008-2009,John Curtin House Limited,PO Box 6222,,KINGSTON,ACT,2604,,,5300069,6263481,5727811,0,0
2008-2009,John McEwen House Pty Ltd,PO Box 3328,,MANUKA,ACT,2603,,,953928,847698,2473143,0,0
2008-2009,Kaye Sutherland Memorial Bequest Fund,141 Gilles Street,,ADELAIDE,SA,5000,,,0,62,0,0,0
2008-2009,Kooyong 200 Club,PO Box 1006,,CAMBERWELL,VIC,3124,,,24410,17995,0,0,0
2008-2009,Labor Campaign Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,,75190,424746,8000,0,0
2008-2009,Labor Holdings Pty Ltd,16 Peel St,,SOUTH BRISBANE,QLD,4101,,,28730024,28451040,11496815,0,0
2008-2009,Labour Movement Education Association Inc.,PO Box 324,,WEST PERTH,WA,6872,,,15733,19354,0,0,0
2008-2009,Libco Pty Ltd,PO Box 8167,,WOOLLOONGABBA,QLD,4102,,,1756531,11940,0,0,0
2008-2009,Liberal Asset Management (Custodians) Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,,13436,250,39952,0,0
2008-2009,Liberal Building Foundation,PO Box 9008,,NORWOOD,TAS,7250,,,0,0,0,0,0
2008-2009,Liberal Club Limited,GPO Box 556,,TORRENSVILLE,SA,5031,,,147783,35906,242621,0,0
2008-2009,Liberal Properties Limited,Locked Bag 2,,KINGS CROSS,NSW,1340,,,10941,9053,585,0,0
2008-2009,LNP Nominees Pty Ltd as Trustee for the 6 St Paul's Terrace Unit Trust,PO Box 940,,SPRING HILL,QLD,4004,,,34985,64602,0,0,0
2008-2009,LPPH Pty Ltd,PO Box 49,,WEST PERTH,WA,6872,,,514978,76620,514978,0,0
2008-2009,Mallen's Colac Hotel Pty Ltd,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),84766,42664,5452,0,0
2008-2009,Media Entertainment & Arts Alliance,PO Box 723,,STRAWBERRY HILLS,NSW,2012,,,13386991,13877903,2306379,0,0
2008-2009,Mehring Books Pty Ltd,PO Box 574,,STRAWBERRY HILLS,NSW,2012,,Socialist Equality Party,90115,90188,2368,0,0
2008-2009,Menzies 200 Club,PO Box 583,,DONCASTER,VIC,3108,,,18394,9592,0,0,0
2008-2009,National Club Limited,Level 1,17 Innes Road,GREENWICH,NSW,2065,,,276238,124231,246504,0,0
2008-2009,National Union of Workers - General Branch,P.O. Box 343,,NORTH MELBOURNE,VIC,3008,,,705060,942667,28215,0,0
2008-2009,National Union of Workers - National Office,PO Box 343,,NORTH MELBOURNE,VIC,3051,,,6862270,6477361,808540,0,0
2008-2009,National Union of Workers - NSW Branch,3-5 Bridge Street,,GRANVILLE,NSW,2142,,,5473083,5506073,1771697,0,0
2008-2009,National Union of Workers - Queensland Branch,1st Floor,17 Cribb St,MILTON,QLD,4064,,,1502130,1840245,759865,0,0
2008-2009,National Union of Workers - Victorian Branch,833 Bourke Street,,DOCKLANDS,VIC,3008,,,18214371,15286732,396989,0,0
2008-2009,National Union of Workers SA Branch,46 Greenhill Road,,WAYVILLE,SA,5034,,,1011628,1237699,12304,0,0
2008-2009,New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union,"Level 7, 321 Pitt Street",,SYDNEY,NSW,2000,,,12127724,11504091,389788,0,0
2008-2009,North West 200 Club,PO Box 164,,Keilor East,VIC,3033,,,35504,22916,8028,0,0
2008-2009,Northern Territory ALP Investment Trust,GPO Box 2026,,DARWIN,NT,801,,,30180,10925,839,0,0
2008-2009,NSW Labor Campaign Investment Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,,770295,774066,2197528,0,0
2008-2009,NTN Services ,PO Box 55,,MOOROOKA,QLD,4105,,,1170800,932000,17900,0,0
2008-2009,OUTER EASTERN Platinum Club,253 Dorset Rd,,Boronia,VIC,3155,,,105979,68169,0,0,0
2008-2009,Parakeelia Pty Ltd,PO Box 6004,,KINGSTON,ACT,2604,,,843240,1078132,12599,0,0
2008-2009,Parliamentary Liberal Party Communication Committee (Victoria),321 Main St (PO Box 2000),,MORNINGTON,VIC,3931,,,70345,21394,0,0,0
2008-2009,Perth Trades Hall Inc,PO Box 8117,,PERTH BUSINESS CENTRE,WA,6849,,,202574,303568,98655,0,0
2008-2009,Progressive Business Association Inc,PO Box 4021,,FITZROY,VIC,3065,,,1612974,1765597,105592,0,0
2008-2009,Queensland Nurses Union of Employees,GPO Box 1289,,BRISBANE,QLD,4001,,,17284043,15520566,931737,0,0
2008-2009,"Queensland Services, Industrial Union of Employees",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,,1562168,1374854,1159,0,0
2008-2009,SA Progressive Business Incorporated,141 Gilles Street,,ADELAIDE,SA,5000,,,1262412,1142485,38943,0,0
2008-2009,SA Wholesale Soft Goods Salesman & Warehousemens Association,69 Fullarton Road,,KENT TOWN,SA,5067,,,594,594,0,0,0
2008-2009,Scoresby City Club,PO Box 2342,,MELBOURNE,VIC,3001,,Liberal Party of Australia (Victorian Division),40050,18663,0,0,0
2008-2009,Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW,PO Box 2211,,DANGAR,NSW,2309,,,2424776,2172368,0,0,0
2008-2009,Shop Distributive & Allied Employees' Asn. NSW Deductions A/C Office,PO Box K230,,HAYMARKET,NSW,1240,,,16503831,13150087,976007,0,0
2008-2009,Shop Distributive & Allied Employees Association - Tasmanian Branch,72 York Street,,LAUNCESTON,TAS,7250,,,1500254,1459956,199085,0,0
2008-2009,Shop Distributive & Allied Employees Association - VIC Branch,65 Southbank Boulevard,,SOUTHBANK,VIC,3006,,,12972412,12791932,541371,0,0
2008-2009,Shop Distributive & Allied Employees' Association NSW Branch,PO Box K230,,HAYMARKET,NSW,1240,,,729074,349656,26193,0,0
2008-2009,Shop Distributive & Allied Employees' Association of Western Australia,"5th Floor, 25 Barrack Street",,PERTH,WA,6000,,,6712139,4991808,292054,0,0
2008-2009,Shop Distributive & Allied Employees Association South Australian Branch (Federal Body),1/69 Fullarton Road,,KENT TOWN,SA,5067,,,1290562,1450234,36455,0,0
2008-2009,Shop Distributive & Allied Employees Association South Australian Branch (State Body),1/69 Fullarton Road,,KENT TOWN,SA,5067,,,5663151,5081433,259707,0,0
2008-2009,Shop Distributive and Allied Employees Association (QLD Branch),PO Box 490,,SPRING HILL,QLD,4004,,,11442668,10285276,426900,0,0
2008-2009,"Shop, Distributive & Allied Employees' Association - National",Sixth Floor,53 Queen Street,MELBOURNE,VIC,3000,,,7655327,3918062,156293,0,0
2008-2009,"Taree Lands Pty Ltd, ATF Taree Lands Pty Ltd Trust",C/O- PO Box 1020,,TAREE,NSW,2430,,,0,0,0,0,0
2008-2009,Tattersalls Development Pty Ltd,Wakefield,,HILLSTON,NSW,2675,,,0,0,0,0,0
2008-2009,"Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br",Level 3,540 Elizabeth Street,MELBOURNE,VIC,3000,,,1753083,1805841,116224,0,0
2008-2009,"Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch",Level 3,540 Elizabeth St,MELBOURNE,VIC,3000,,,2657553,2435784,54427,0,0
2008-2009,The 500 Club (VIC),"L3, 104 Exhibition Street",,MELBOURNE,VIC,3000,,,546933,568029,0,0,0
2008-2009,The 500 Club (WA),PO Box Z5303,St Georges Terrace,PERTH,WA,6831,,,562012,451275,13295,0,0
2008-2009,The Australian Workers' Union - Greater NSW Branch,PO Box 20,,GRANVILLE,NSW,2142,,,5428778,5055060,106189,0,0
2008-2009,The Australian Workers Union - Newcastle Central Coast & Northern Regions Branch,PO Box 226,,MAYFIELD,NSW,2304,,,2655722,2258588,552737,0,0
2008-2009,The Australian Workers' Union of Employees Queensland,GPO Box 88,,BRISBANE,QLD,4001,,,16565967,16853076,4213893,0,0
2008-2009,The Australian Workers' Union Victorian Branch,685 Spencer Street,,WEST MELBOURNE,VIC,3003,,,9010856,8092511,450728,0,0
2008-2009,The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia,PO Box 1455,,CANNING VALE ,WA,6970,,,1123541,509144,0,0,229
2008-2009,The Chifley Research Centre Ltd,PO Box 6222,,KINGSTON,ACT,2604,,,250940,373625,3913,0,0
2008-2009,The Federation of Hunting Clubs Inc,PO Box 376,,BAULKHAM HILLS,NSW,1755,,Shooters and Fishers Party,28309,29304,1100,0,0
2008-2009,The Food Preservers' Union of Western Australia Union of Workers,"5th Floor,",25 Barrack Street,PERTH,WA,6000,,,11803,21722,19844,0,0
2008-2009,The Free Enterprise Foundation,PO Box 292,,CANBERRA,ACT,2601,,,150006,96450,0,0,0
2008-2009,The Geelong 500 Club Inc,PO Box 266,,Geelong,VIC,3220,,Liberal Party of Australia (Victorian Division),29200,20388,0,0,0
2008-2009,The Green Institute Limited,GPO Box 557,,CANBERRA,ACT,2601,,,56819,24078,5532,0,0
2008-2009,The Greenfields Foundation,PO Box 52,,DEAKIN WEST,ACT,2600,,,50144,50005,0,0,0
2008-2009,The Jim Killen Young Liberal Foundation,PO Box 376,,COORPAROO,QLD,4151,,,21489,0,0,0,0
2008-2009,The Lady Wilson Foundation,104 Greenhill Road,,UNLEY,SA,5061,,,3898,60,770,0,0
2008-2009,The Liberal Foundation Inc,GPO Box 20,,Adelaide,SA,5001,,,78408,29050,0,0,0
2008-2009,The Liberal Party of Western Australia Pty Ltd,PO Box 49,,WEST PERTH,WA,6872,,,1249340,1779837,18632,0,0
2008-2009,The Menzies Research Centre Limited,PO Box 6091,,KINGSTON,ACT,2604,,,827879,622205,160177,0,0
2008-2009,The Monash Club,PO Box 2688,,MOUNT WAVERLEY,VIC,3149,,,30177,13691,0,0,0
2008-2009,The Page Research Centre Ltd,PO Box 6190,,KINGSTON,ACT,2604,,,97825,182930,12250,0,0
2008-2009,The Sapphire Club,PO Box 250,,SHEPPARTON,VIC,3632,,,41926,53359,0,0,0
2008-2009,The Sydney Small Business Club (The Warringah Club),PO Box 1387,,MONA VALE,NSW,1660,,,29050,11115,0,0,0
2008-2009,The United Professional Firefighters Union of Western Australia,21 View Street,,NORTH PERTH,WA,6006,,,3273377,3283003,1919827,0,0
2008-2009,The Violet Bobin Trust,28 McCarthy Drive,,CRAIGNISH,QLD,4650,,,21666,42209,0,0,0
2008-2009,Transport Workers Union  VIC/TAS Branch,PO Box 203,,PORT MELBOURNE,VIC,3207,,,7280291,5314704,456214,0,0
2008-2009,Transport Workers Union (WA Branch),PO Box 191,,WELSHPOOL DC,WA,6986,,,4044819,2956778,6757,0,0
2008-2009,Transport Workers Union of Australia - Federal Council,"Level 2, 388-390 Sussex St",,SYDNEY SOUTH,NSW,2000,,,3504614,3189340,276500,0,0
2008-2009,Transport Workers Union of Australia - NSW Branch,PO Box 54,,MOUNT DRUITT,NSW,2770,,,530855,432529,154140,0,0
2008-2009,Transport Workers Union of Australia Queensland Branch,PO Box 452,,CANNON HILL,QLD,4170,,,5391423,4556428,281407,0,0
2008-2009,Transport Workers Union of Australia SA/NT Branch,PO Box 137,,WELLAND,SA,5007,,,1762833,2814254,1663,0,0
2008-2009,Transport Workers Union of New South Wales,PO Box 54,,MINCHINBURY,NSW,2770,,,11777833,9287140,646398,0,0
2008-2009,Trisleys Electrical Pty Ltd,34 Bowra Street,,NAMBUCCA HEADS,NSW,2448,,,2450930,2451528,1008719,0,0
2008-2009,United Firefighters Union of Australia - ACT Branch,PO Box 907,,MITCHELL,ACT,2911,,,198392,161014,0,0,0
2008-2009,United Firefighters Union of Australia Qld Branch,410 Brunswick Street,,FITZROY,VIC,3065,,,1234478,1106665,478346,0,0
2008-2009,United Firefighters Union of Australia Tasmania Branch,265 Macquarie St,,HOBART,TAS,7000,,,252716,225299,0,0,0
2008-2009,United Firefighters Union of Australia VIC,410 Brunswick Street,,FITZROY,VIC,3065,,,2000336,2139808,438801,0,0
2008-2009,United Firefighters Union of SA Inc,PO Box 289,,TORRENSVILLE PLAZA,SA,5031,,,527577,493121,24623,0,0
2008-2009,United Workers Union,Locked Bag 9,,HAYMARKET,NSW,1240,,,70212281,70645810,1743127,0,0
2008-2009,Vapold Pty Ltd,Level 12,257 Collins Street,MELBOURNE,VIC,3000,,Liberal Party of Australia (Victorian Division),573038,414261,94718,0,0
2008-2009,Western Australian Prison Officers' Union of Workers,63 Railway Parade,,MT LAWLEY,WA,6050,,,1178403,0,10742,0,0
2008-2009,Western Australian Railway Officers' Union,PO Box 8208,Perth Business Centre,PERTH,WA,6849,,,80801,3059,0,0,1251
2008-2009,Yarra Plenty Womens Group,PO Box 3196,,ELTHAM,VIC,3095,,Liberal Party of Australia (Victorian Division),9089,5340,0,0,0
2007-2008,500 Club of New South Wales Inc,C/- Locked Bag 2,,KINGS CROSS,NSW,1340,,,3999,4612,0,0,0
2007-2008,AADB Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,,0,0,0,0,0
2007-2008,AG - Rich Foods Pty Ltd,-,,COONAMBLE,NSW,2829,,,0,110,0,0,0
2007-2008,Agenda Mangement & Solutions Pty Ltd,4 Henning Ave,,MAROUBRA,NSW,2035,,,100,100,0,0,0
2007-2008,Altum Pty Ltd as Trustee for Altum Property Unit Trust,PO Box 940,,SPRING HILL,QLD,4004,,,3042755,1882595,0,0,0
2007-2008,Arthur Macartney Family Trust,RMB 1260,Berrigan Rd,TOCUMWAL,NSW,2714,,,329139,287420,296915,0,0
2007-2008,Aust Building Const Employees & Builders Labour Fed (QLD Br),16 Campbell Street,,BOWEN HILLS,QLD,4006,,,4190714,4553848,232675,0,0
2007-2008,Aust Rail Tram and Bus Industry Union of Employees WA Branch,2/10 Nash Street,,PERTH,WA,6000,,,747170,559576,20314,0,0
2007-2008,Aust. Municipal Admin. Clerical & Services Union - WA Branch,PO Box 8208,Perth Business Centre,PERTH,WA,6849,,,1962067,2163657,325603,0,0
2007-2008,Australasian Meat Industry Employees Union - Federal Council,Level 1,39 Lytton Road,EAST BRISBANE,QLD,4169,,,363537,325509,0,0,0
2007-2008,Australasian Meat Industry Employees Union - Newcastle & Northern Branch,PO Box 2263,,DANGAR,NSW,2309,,,971342,850139,8923,0,0
2007-2008,Australasian Meat Industry Employees' Union - NSW Branch,62 Prospect Street,,ROSEHILL,NSW,2142,,,1373640,1001191,31871,0,0
2007-2008,Australasian Meat Industry Employees' Union - QLD Branch,Level 1,39 Lytton Road,EAST BRISBANE,QLD,4169,,,2296348,1831189,80279,0,0
2007-2008,Australasian Meat Industry Employees Union (Tasmanian Branch),PO Box 649,,KINGS MEADOWS,TAS,7249,,,227660,215564,97065,0,0
2007-2008,Australasian Meat Industry Employees Union (WA Branch),PO Box 479,,BELMONT,WA,6984,,,333385,335603,8670,0,0
2007-2008,Australasian Meat Industry Employees Union SA & WA Branch,227 Henley Beach Road,,TORRENSVILLE,SA,5031,,,450132,495748,9499,0,0
2007-2008,Australasian Meat Industry Employees Union Victorian Branch,"Level 2, 62 Lygon Street",,CARLTON,VIC,3053,,,1211936,1174986,170487,0,0
2007-2008,Australian Federated Union of Locomotive Employees,41 Peel Street,,SOUTH BRISBANE,QLD,4101,,,617330,447214,0,0,0
2007-2008,Australian Inst of Marine & Power Engineers Union of Emp. QLD ,Unit 14 Rockton,40 Brookes Street,BOWEN HILLS,QLD,4006,,,8003,8216,0,0,0
2007-2008,Australian Institute of Marine and Power Engineers - NSW,52 Buckingham Street,,SURRY HILLS,NSW,2010,,,1822376,1884226,0,0,0
2007-2008,Australian Labor Party - Holdings Pty Ltd,141 Gilles Street,,ADELAIDE,SA,5000,,,0,0,0,0,0
2007-2008,Australian Labor Party (Legacies and Gifts) Ltd,PO Box 6222,,KINGSTON,ACT,2604,,,0,0,0,0,0
2007-2008,Australian Labor Party (NSW) Gifts Pty Ltd,PO Box K408,,HAYMARKET,NSW,1240,,,0,0,0,0,0
2007-2008,Australian Labor Party Sisterhood,64 Brougham Street,,LAUNCESTON,TAS,7250,,,637,1000,0,0,0
2007-2008,Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch,PO Box 3272,,SOUTH BRISBANE,QLD,4101,,,2684379,2807779,257179,0,0
2007-2008,"Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,,5866428,6492038,308780,0,0
2007-2008,Australian Rail Tram & Bus Industry Union SA/NT,PO Box 195,,WOODVILLE,SA,5011,,,523689,526332,41514,0,0
2007-2008,"Australian Rail Tram & Bus Industry Union, Queensland Branch",Level 1,457 Upper Edward Street,BRISBANE,QLD,4000,,,4110160,2965192,273772,0,0
2007-2008,Australian Rail Tram & Bus Union (Victorian Branch),Level 2,365 Queen St,MELBOURNE,VIC,3000,,,2869531,2215504,1217357,0,0
2007-2008,Australian Rail Tram and Bus Industry Union New South Wales Branch,"Level 4, 321 Pitt Street",,SYDNEY,NSW,2000,,,7489430,6434206,615174,0,0
2007-2008,"Australian Rail,Tram & Bus Industry - TAS Branch",PO Box 682,,MOONAH,TAS,7009,,,0,0,0,0,0
2007-2008,Australian Services Union - Tasmania,265 Macquarie Street,,HOBART,TAS,7000,,,749768,720138,334255,0,0
